id,pasangan_mapel,konsep_A,mapel_A,relasi_diusulkan,konsep_B,mapel_B,penjelasan_LLM,1_relasi_valid? (Ya/Tidak),2_tipe_relasi_benar? (Benar/Salah),2b_jika_salah_tipe_yg_benar,3_arah_benar? (Benar/Terbalik/NA),komentar
LB106,Biologi <-> Kimia,Reaksi Oksidasi Senyawa Organik,Kimia,APLIKASI_DARI,Siklus Krebs,Biologi,Siklus Krebs dalam biologi adalah penerapan prinsip-prinsip reaksi oksidasi senyawa organik yang dipelajari dalam kimia untuk menghasilkan energi.,,,,,
LB107,Biologi <-> Kimia,Metabolisme,Biologi,MEMPERDALAM,reaksi spontan,Kimia,"Konsep reaksi spontan dalam Kimia, yang terkait dengan termodinamika, memperdalam pemahaman tentang arah dan energi reaksi dalam proses metabolisme Biologi.",,,,,
LB108,Biologi <-> Kimia,DNA (Asam 2-Deoksiribonukleat),Kimia,PRASYARAT_UNTUK,Gen,Biologi,Pemahaman tentang struktur kimia DNA adalah prasyarat untuk memahami gen sebagai segmen fungsional dari DNA.,,,,,
LB109,Biologi <-> Kimia,DNA (Asam 2-Deoksiribonukleat),Kimia,PRASYARAT_UNTUK,Epigenetik,Biologi,Pemahaman struktur dan sifat kimia DNA dari perspektif kimia adalah prasyarat untuk memahami bagaimana perubahan epigenetik memengaruhi fungsi DNA.,,,,,
LB110,Biologi <-> Kimia,Etanol,Kimia,BERKAITAN_DENGAN,Produksi Tempe,Biologi,"Etanol adalah produk fermentasi alkohol, sementara produksi tempe adalah contoh lain dari proses fermentasi yang melibatkan mikroorganisme.",,,,,
LB111,Biologi <-> Kimia,Biodegradable Plastic,Kimia,MEMPERDALAM,Bioremediasi,Biologi,Bioremediasi (Biologi) memperdalam pemahaman tentang bagaimana plastik biodegradable (Kimia) dapat terurai melalui proses biologis.,,,,,
LB112,Biologi <-> Fisika,Ilmu Pendukung Bioteknologi,Biologi,BERKAITAN_DENGAN,Pemanfaatan Gelombang Mikro,Fisika,"Konsep A menyebut fisika sebagai ilmu pendukung bioteknologi, dan konsep B adalah salah satu aplikasi spesifik dari fisika yang secara umum dapat berkaitan dengan inovasi bioteknologi.",,,,,
LB113,Biologi <-> Fisika,Foton,Fisika,MEMPERDALAM,Fotosintesis,Biologi,Konsep foton dari fisika memperdalam pemahaman tentang bagaimana energi cahaya diserap dan digunakan dalam fotosintesis.,,,,,
LB114,Biologi <-> Kimia,DNA (Asam 2-Deoksiribonukleat),Kimia,MEMPERDALAM,Materi Genetik,Biologi,Konsep DNA dalam Kimia memperdalam pemahaman tentang struktur molekuler salah satu komponen utama Materi Genetik dalam Biologi.,,,,,
LB115,Fisika <-> Kimia,Defleksi Gerak Muatan,Fisika,PRASYARAT_UNTUK,Elektroforesis,Kimia,Konsep Defleksi Gerak Muatan dalam fisika adalah prasyarat untuk memahami prinsip kerja Elektroforesis dalam kimia yang memisahkan partikel bermuatan.,,,,,
LB116,Biologi <-> Kimia,Fosforilasi Oksidatif,Biologi,PRASYARAT_UNTUK,Oksidasi,Kimia,Pemahaman konsep oksidasi dari kimia adalah prasyarat untuk memahami reaksi kehilangan elektron dalam fosforilasi oksidatif.,,,,,
LB117,Biologi <-> Kimia,DNA (Asam 2-Deoksiribonukleat),Kimia,PRASYARAT_UNTUK,Sintesis Protein,Biologi,Pemahaman struktur kimia DNA dari Kimia adalah prasyarat untuk memahami bagaimana DNA berfungsi dalam sintesis protein di Biologi.,,,,,
